#,Kaebuse kuupäev,Kaebuse aasta,Väljaanne,Kaebuse sisu,Lahendi tulemus1,Lahendi tulemus2,Lahendi kuupäev,Otsuse sisu,Otsuse liik,Lahendi liik,Väljaande nimi,Väljaande liik,Koodeks,1.2,1.4,1.5,1.6,2.3,3.1,3.2,3.3,3.5,3.6,3.7,4.1,4.2,4.3,4.4,4.6,4.7,4.8,4.9,4.10,4.11,4.12,5.1,5.2,5.3,6.1,Koodeksipunkte,Lingid
1,06.07.02,2002,Rahva Hääl ,"Kaebaja väitel kasutas leht korduvalt ja ilma loata karikaturist Gori tehtud Puusliku kujutist, mis oli vestekirjanik Eesav Edvard Puusliku märk. ",otsust ei tehtud,kokkulepe eelmenetluse käigus,28.08.02,TAUNIV: Ajaleht vabandas kirjalikult ja avaldas vabanduse 28.08.02 numbris. ,tauniv,tauniv,muu väljaanne,muu meedia,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://rahvahaal.tumblr.com/
2,22.08.02,2002,"Äripäev 29.07.02 ""Juustutootjad keelduvad koostööst Estoveriga"" ","Kaebaja leiab, et leht annab eksitavat ja tema väärikust teotavat infot kui süüdistab teda sisseveetud juustude kohaliku toodangu pähe müümises ja teiste tootjate ähvardamises. ",pressinõukogu otsus,pressinõukogu otsus,26.09.02,"TAUNIV: Pressinõukogu pidas artikli esilehe pealkirja eksitavaks, kuna süüdistused pole artiklis põhjendust leidnud. Samuti ei toetunud artikli põhisüüdistused faktidele. Leht avaldas tauniva otsuse 01.10.02. ",tauniv,tauniv,Äripäev,kirjutav meedia,['1.10'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.asn.org.ee/asn_lahendid.php?action=view&num=282
3,28.08.02,2002,"Äripäev 28.08.02 ""Ettevõtted hoiavad võõra vöötkoodi abil kokku"" ",Kaebaja arvates annab võõra võõtkoodi kasutamises ja seeläbi maksude kõrvalehoidmises süüdistamine avalikkusele valeinfot. Lisaks pole kaebaja rahul foto ja tsitaadi kasutamisega. ,pressinõukogu otsus,pressinõukogu otsus,26.09.02,"ÕIGEKSMÕISTEV: Pressinõukogu seisukohalt pole kaebaja etteheited põhjendatud, sest artikkel põhineb kindlatel faktidel. Samuti ei leidnud kinnitust süüdistused eksitava montaaži kohta, sest tegu on kahe erineva pildiga. Leht avaldas otsuse 01.10.02. ",õigeksmõistev,õigeksmõistev,Äripäev,kirjutav meedia,['1.10'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://meedialiit.ee/kaebused-2002/
4,24.10.02,2002,"Molodjoz Estonii 17.10.02 ""Rootslased on sokeeritud"" ","Kaebaja ei ole rahul artikli juures avaldatud fotomontaaziga, kuna see on mitmeti tõlgendatav. Algse artikli juures oli foto hoopis Ida-Virumaal toimunud uimastipreventsiooni ümarlauast. ",pressinõukogu otsus,pressinõukogu otsus,28.11.02,"ÕIGEKSMÕISTEV: Pressinõukogu arvates pole kaebaja väited põhjendatud, sest fotomontaazile viitas pildiallkiri, samuti ei saa ajalehte kohustada kasutama konkreetsel üritusel tehtud fotosid. ",õigeksmõistev,õigeksmõistev,Molodjoz Estonii,kirjutav meedia,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://meedialiit.ee/kaebused-2002/
6,04.12.02,2002,"Virumaa Teataja 23.10.02 ""Selja hakkab uut sängi otsima"" ","Kaebaja väitel levitab ajaleht kaebaja Karepal asuvast majast kirjutades juba pikemat aega väärinfot, mis on tekitanud moraalset kahju kaebaja perekonnale. Kaebaja pole rahul ka tema vastuväidete avaldamata jätmisega. ",pressinõukogu otsus,pressinõukogu otsus,16.01.03,"ÕIGEKSMÕISTEV: Pressinõukogu leidis, et viimases artiklis ei ole viidatud kaebaja majale äratuntavalt, mistõttu intervjuu ei kahjusta kaebaja perekonna mainet. Samas oleks leht pidanud varasemas samateemalises diskussioonis andma kaebajale võimaluse ka oma seisukoha väljaütlemiseks. ",õigeksmõistev,õigeksmõistev,Virumaa Teataja,kirjutav meedia,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://meedialiit.ee/kaebused-2002/
7,04.12.02,2002,"Estonija 11.11.02 ""Keemia ja elu"" ","Kaebaja väitel on artikkel täis faktivigu ning kahjustab otsitud negatiivsete järeldustega seetõttu ettevõtte mainet. Kaebaja pole rahul asjaoluga, et leht pole valefaktide vältimiseks pöördunud Nitroferdi juhtkonna poole. ",pressinõukogu otsus,pressinõukogu otsus,27.02.03,"TAUNIV: Artiklis on rikutud mitut ajakirjanduseetika koodeksi punkti, muuhulgas on läbisegi oletused ja uudised ning lehe hinnangud ei põhine kindlatel faktidel. ",tauniv,tauniv,Estonija,kirjutav meedia,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://meedialiit.ee/kaebused-2002/
8,06.12.02,2002,"Postimees 02.12.02 ""Järvi fondi juhid jagasid raha enda projektidele"", juhtkiri ""Tõesti piinlik lugu"" ","Kaebaja seisukohalt on artiklis tegelikkusele mittevastavaid andmeid, mis kahjustavad Järvi Fondi nõukogu liikmete mainet. Kaebaja peab artiklit solvavaks. ",pressinõukogu otsus,pressinõukogu otsus,16.01.03,"TAUNIV: Juhtkirjas olevat lauset ""Valitud saada on hea, endalegi üht teist tasku pista veelgi parem…"" on antud kontekstis raske mõista teisiti kui süüdistusena, et kõnealused isikud on saanud fondist isiklikku ebaeetilist tulu. Sellele lausele ei ole mingit faktilist kinnitust ei artiklis ega juhtkirjas. Artiklis aga ei ole rikutud head ajakirjandustava. Ka kaebaja ei lükanud artiklis esitatud fakte ümber. ",tauniv,tauniv,Postimees,kirjutav meedia,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://meedialiit.ee/kaebused-2002/
13,30.12.02,2002,"Eesti Ekspress 24.12.02 ""Iseseisvuspäev"" ","Kaebaja pole rahul, et artikkel ülistab mitu inimest surnuks sõitnud Mait Metsamaad. Samuti pole kaebaja meelest sobilik sellise artikli avaldamine jõululaupäeval. ",pressinõukogu otsus,pressinõukogu otsus,27.02.03,ÕIGEKSMÕISTEV: Artiklis pole rikutud ajakirjanduseetika koodeksit ega head ajakirjandustava. Artikli eesmärk polnud Mait Metsamaa ülistamine ning kirjutise headust või sobimatust ei saa hinnata ilmumispäeva järgi. ,õigeksmõistev,õigeksmõistev,Eesti Ekspress,kirjutav meedia,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://meedialiit.ee/kaebused-2002/
18,03.03.03,2003,Äripäev 14.02.03 Erinevad kirjutised soodusravimite nimekirja kujunemise teemal ,"Leht loob artiklitega vale pildi soodusravimite nimekirja kujunemisest ja kaebaja tegevusest sotsiaalministrina, andmata seejuures võimalust selgitusteks. ",pressinõukogu otsus,pressinõukogu otsus,03.04.03,TAUNIV: Leht rikkus head ajakirjandustava edastades tahtlikult eksitavat ja erapoolikut infot ning andmata seejuures kaebajale võimalust oma seisukoha väljaütlemiseks. ,tauniv,tauniv,Äripäev,kirjutav meedia,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.haigekassa.ee/partnerile/ravimitest/soodusravimid
20,11.04.03,2003,Kroonika 08.04.03 Abielu valus proovikivi ,"Kaebaja väitel on artikli puhul tegu isiklikku ellu tungimisega ja manipuleerimisega. Kuigi kirjutisest nähtub, nagu oleks intervjuu kaebajaga toimunud, seda kaebaja väitel siiski ei tehtud. ",pressinõukogu otsus,pressinõukogu otsus,08.05.03,"TAUNIV: Pressinõukogu leidis, et Kroonika ei kasutanud info hankimisel ausaid võtteid ja rikkus sellega ajakirjanduseetika koodeksit. ",tauniv,tauniv,Kroonika,kirjutav meedia,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://kroonika.delfi.ee/artikkel/82285208/abielu-valus-proovikivi
